Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2014,21,Internacional,br BRA,1. Série A,3rd,11,11,990,11,,,0,0,,7,1,3,2,18.2,1,1,0,0,0,0,,,,,,,,,,,,,,
2015,22,Internacional,br BRA,1. Série A,5th,26,26,"2,266",25.2,,,0,0,,12,7,7,15,57.7,4,3,0,1,0,1,,,,,,,,,,,,,,
2016,23,Internacional,br BRA,1. Série A,17th,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,,0,,,,,,,,,,,,,,
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37,37,"3,330",37,28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,0,40,0,1090,1323,82.4,31865,23250,127,127,100,518,525,98.7,443,667,66.4
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38,38,"3,420",38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,6,1075,1290,83.3,28332,18517,143,148,96.6,625,628,99.5,307,510,60.2
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,29,29,"2,543",28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0,1,820,947,86.6,19608,12630,204,204,100,414,424,97.6,199,314,63.4
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33,33,"2,970",33,32,0.97,115,82,75.7,18,8,7,10,30.3,8,4,1,3,20,0,1000,1157,86.4,22600,14023,223,225,99.1,578,590,98,191,330,57.9
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36,36,"3,240",36,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,,2,1214,1388,87.5,28439,18286,275,276,99.6,686,699,98.1,249,409,60.9
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37,37,"3,330",37,43,1.16,147,105,72.1,19,9,9,14,37.8,4,2,1,1,33.3,0,1241,1453,85.4,29043,18696,307,309,99.4,657,666,98.6,273,469,58.2
2023-2024,30,Liverpool,eng ENG,1. Premier League,1st,18,18,"1,620",18,15,0.83,62,48,77.4,11,6,1,6,33.3,1,1,0,0,0,0,645,755,85.4,14168,8832,162,163,99.4,373,380,98.2,108,205,52.7
