Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2006-2007,23,Real Sociedad,es ESP,1. La Liga,19th,29,29,"2,610",29,29,1,151,122,80.8,8,7,14,8,27.6,,,,,,0,,,,,,,,,,,,,,
2008-2009,25,Real Sociedad,es ESP,2. Segunda División,6th,32,32,"2,880",32,28,0.87,104,76,73.1,14,11,7,13,40.6,,,,,,0,,,,,,,,,,,,,,
2009-2010,26,Real Sociedad,es ESP,2. Segunda División,1st,25,25,"2,156",24,22,0.92,110,88,80,13,7,4,8,32,,,,,,2,,,,,,,,,,,,,,
2010-2011,27,Real Sociedad,es ESP,1. La Liga,15th,38,38,"3,420",38,66,1.74,205,139,67.8,14,3,21,9,23.7,,,,,,0,,,,,,,,,,,,,,
2011-2012,28,Real Sociedad,es ESP,1. La Liga,12th,37,37,"3,330",37,51,1.38,195,144,73.8,12,10,15,12,32.4,,,,,,0,,,,,,,,,,,,,,
2012-2013,29,Real Sociedad,es ESP,1. La Liga,4th,31,31,"2,790",31,40,1.29,142,102,71.8,16,10,5,9,29,,,,,,0,,,,,,,,,,,,,,
2013-2014,30,Real Sociedad,es ESP,1. La Liga,7th,37,37,"3,330",37,54,1.46,178,124,69.7,16,11,10,12,32.4,,,,,,0,,,,,,,,,,,,,,
2014-2015,31,Barcelona,es ESP,1. La Liga,1st,37,37,"3,330",37,19,0.51,89,70,78.7,30,3,4,23,62.2,,,,,,3,,,,,,,,,,,,,,
2015-2016,32,Barcelona,es ESP,1. La Liga,1st,32,32,"2,878",32,22,0.69,107,86,80.4,24,4,4,16,50,1,1,0,0,0,1,,,,,,,,,,,,,,
2016-2017,33,Barcelona,es ESP,1. La Liga,2nd,1,1,90,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,
2016-2017,33,Manchester City,eng ENG,1. Premier League,3rd,22,22,"1,968",21.9,26,1.19,60,34,56.7,12,5,5,5,22.7,1,0,1,0,100,0,,,,,,,,,,,,,,
2017-2018,34,Manchester City,eng ENG,1. Premier League,1st,3,2,226,2.5,1,0.4,5,4,80,2,0,0,2,100,0,0,0,0,,0,64,71,90.1,1601,1126,4,4,100,43,44,97.7,17,23,73.9
2019-2020,36,Manchester City,eng ENG,1. Premier League,2nd,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,0,107,136,78.7,2579,1755,32,33,97,48,49,98,27,54,50
2020-2021,37,Betis,es ESP,1. La Liga,6th,20,20,"1,800",20,25,1.25,75,50,72,8,8,4,7,35,5,4,1,0,20,0,422,648,65.1,12642,9294,78,78,100,175,177,98.9,162,385,42.1
2021-2022,38,Betis,es ESP,1. La Liga,5th,17,17,"1,456",16.2,19,1.17,56,39,67.9,8,4,5,5,29.4,1,1,0,0,0,0,332,507,65.5,10758,8164,55,55,100,128,132,97,147,315,46.7
2022-2023,39,Betis,es ESP,1. La Liga,6th,12,12,"1,080",12,9,0.75,42,33,81,5,5,2,4,33.3,1,1,0,0,0,0,232,392,59.2,7419,5674,44,44,100,89,91,97.8,96,251,38.2
2023-2024,40,Betis,es ESP,1. La Liga,7th,7,7,630,7,5,0.71,20,16,75,3,4,0,2,28.6,0,0,0,0,,0,186,230,80.9,4988,3322,42,42,100,86,86,100,56,99,56.6
