Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2012-2013,18,Rio Ave,pt POR,1. Primeira Liga,6th,2,2,180,2,2,1,7,5,71.4,1,0,1,0,0,,,,,,0,,,,,,,,,,,,,,
2013-2014,19,Rio Ave,pt POR,1. Primeira Liga,11th,18,17,"1,596",17.7,23,1.3,76,53,69.7,4,7,7,4,23.5,,,,,,0,,,,,,,,,,,,,,
2014-2015,20,Rio Ave,pt POR,1. Primeira Liga,10th,17,17,"1,530",17,18,1.06,65,47,72.3,4,8,5,7,41.2,,,,,,0,,,,,,,,,,,,,,
2015-2016,21,Benfica,pt POR,1. Primeira Liga,1st,10,10,890,9.9,4,0.4,18,14,77.8,10,0,0,5,50,,,,,,1,,,,,,,,,,,,,,
2016-2017,22,Benfica,pt POR,1. Primeira Liga,1st,27,27,"2,381",26.5,17,0.64,73,56,78.1,19,5,2,12,44.4,1,1,0,0,0,1,,,,,,,,,,,,,,
2017-2018,23,Manchester City,eng ENG,1. Premier League,1st,36,36,"3,194",35.5,26,0.73,80,54,67.5,30,4,2,16,44.4,2,0,2,0,100,1,955,1098,87,23400,15983,200,201,99.5,530,536,98.9,224,357,62.7
2018-2019,24,Manchester City,eng ENG,1. Premier League,1st,38,38,"3,420",38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0,2,946,1112,85.1,22857,15482,212,212,100,530,540,98.1,202,353,57.2
2019-2020,25,Manchester City,eng ENG,1. Premier League,2nd,35,35,"3,071",34.1,28,0.82,95,68,73.7,24,3,8,16,45.7,3,3,0,0,0,1,949,1082,87.7,21002,13346,276,277,99.6,481,487,98.8,190,312,60.9
2020-2021,26,Manchester City,eng ENG,1. Premier League,1st,36,36,"3,240",36,28,0.78,93,65,77.4,25,5,6,19,52.8,8,7,1,0,12.5,2,939,1122,83.7,22999,15228,180,181,99.4,531,540,98.3,220,390,56.4
2021-2022,27,Manchester City,eng ENG,1. Premier League,1st,37,37,"3,330",37,26,0.7,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0,2,1016,1128,90.1,22789,14725,280,280,100,519,523,99.2,212,316,67.1
2022-2023,28,Manchester City,eng ENG,1. Premier League,1st,35,35,"3,150",35,32,0.91,77,46,62.3,26,4,5,11,31.4,3,3,0,0,0,3,1079,1257,85.8,26248,17275,237,239,99.2,563,572,98.4,278,442,62.9
2023-2024,29,Manchester City,eng ENG,1. Premier League,3rd,18,18,"1,620",18,20,1.11,51,32,64.7,11,4,3,5,27.8,2,2,0,0,0,0,643,741,86.8,15919,10610,157,157,100,329,334,98.5,156,249,62.7
