Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2006-2007,20,Schalke 04,de GER,1. Bundesliga,2nd,27,27,"2,430",27,21,0.78,117,96,82.1,18,4,5,13,48.1,,,,,,1,,,,,,,,,,,,,,
2007-2008,21,Schalke 04,de GER,1. Bundesliga,3rd,34,34,"3,060",34,32,0.94,142,110,77.5,0,0,0,12,35.3,,,,,,0,,,,,,,,,,,,,,
2008-2009,22,Schalke 04,de GER,1. Bundesliga,8th,27,27,"2,430",27,26,0.96,133,107,80.5,11,6,10,11,40.7,,,,,,0,,,,,,,,,,,,,,
2009-2010,23,Schalke 04,de GER,1. Bundesliga,2nd,34,34,"3,060",34,31,0.91,161,130,80.7,19,8,7,15,44.1,,,,,,1,,,,,,,,,,,,,,
2010-2011,24,Schalke 04,de GER,1. Bundesliga,14th,34,34,"3,058",34,44,1.29,165,121,73.3,11,7,16,11,32.4,,,,,,0,,,,,,,,,,,,,,
2011-2012,25,Bayern Munich,de GER,1. Bundesliga,2nd,33,33,"2,970",33,22,0.67,78,56,71.8,22,4,7,17,51.5,,,,,,1,,,,,,,,,,,,,,
2012-2013,26,Bayern Munich,de GER,1. Bundesliga,1st,31,31,"2,790",31,18,0.58,89,71,79.8,26,4,1,18,58.1,,,,,,4,,,,,,,,,,,,,,
2013-2014,27,Bayern Munich,de GER,1. Bundesliga,1st,31,31,"2,745",30.5,18,0.59,99,81,81.8,26,2,2,15,48.4,,,,,,6,,,,,,,,,,,,,,
2014-2015,28,Bayern Munich,de GER,1. Bundesliga,1st,32,31,"2,867",31.9,18,0.57,94,76,80.9,24,4,4,20,64.5,,,,,,4,,,,,,,,,,,,,,
2015-2016,29,Bayern Munich,de GER,1. Bundesliga,1st,34,34,"3,020",33.6,16,0.48,80,64,80,28,4,2,20,58.8,,,,,,3,,,,,,,,,,,,,,
2016-2017,30,Bayern Munich,de GER,1. Bundesliga,1st,26,26,"2,340",26,13,0.5,67,54,80.6,19,6,1,14,53.8,0,0,0,0,,2,,,,,,,,,,,,,,
2017-2018,31,Bayern Munich,de GER,1. Bundesliga,1st,3,3,270,3,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,,1,82,95,86.3,2391,1500,7,7,100,39,40,97.5,36,48,75
2018-2019,32,Bayern Munich,de GER,1. Bundesliga,1st,26,26,"2,303",25.6,23,0.9,56,34,64.3,20,3,3,10,38.5,3,3,0,0,0,1,772,922,83.7,19434,12482,142,142,100,412,416,99,213,357,59.7
2019-2020,33,Bayern Munich,de GER,1. Bundesliga,1st,33,33,"2,970",33,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25,4,1275,1449,88,29848,19847,333,335,99.4,610,620,98.4,320,480,66.7
2020-2021,34,Bayern Munich,de GER,1. Bundesliga,1st,33,33,"2,970",33,42,1.27,123,80,66.7,24,5,4,9,27.3,3,1,1,1,50,1,1134,1320,85.9,28936,19211,194,195,99.5,593,605,98,343,510,67.3
2021-2022,35,Bayern Munich,de GER,1. Bundesliga,1st,28,28,"2,510",27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0,2,1097,1255,87.4,27026,18257,221,221,100,573,583,98.3,299,442,67.6
2022-2023,36,Bayern Munich,de GER,1. Bundesliga,1st,12,12,"1,080",12,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0,1,449,504,89.1,10571,7280,96,96,100,234,238,98.3,118,169,69.8
2023-2024,37,Bayern Munich,de GER,1. Bundesliga,2nd,7,7,630,7,8,1.14,20,12,60,6,0,1,4,57.1,0,0,0,0,,0,194,218,89,4677,2766,40,40,100,109,111,98.2,45,67,67.2
