Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2014-2015,18,Jong Ajax,nl NED,2. Eerste Divisie,12th,13,13,"1,170",13,23,1.77,64,41,64.1,2,4,7,1,7.7,,,,,,0,,,,,,,,,,,,,,
2015-2016,19,Jong Ajax,nl NED,2. Eerste Divisie,9th,24,24,"2,160",24,41,1.71,94,53,56.4,7,9,8,3,12.5,,,,,,0,,,,,,,,,,,,,,
2016-2017,20,Jong Ajax,nl NED,2. Eerste Divisie,2nd,2,2,180,2,2,1,8,6,75,1,1,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,
2016-2017,20,Ajax,nl NED,1. Eredivisie,2nd,32,32,"2,880",32,20,0.62,88,68,78.4,24,5,3,15,46.9,3,1,1,1,50,0,,,,,,,,,,,,,,
2017-2018,21,Ajax,nl NED,1. Eredivisie,2nd,33,33,"2,970",33,32,0.97,130,98,76.9,24,4,5,12,36.4,4,2,2,0,50,0,,,,,,,,,,,,,,
2018-2019,22,Ajax,nl NED,1. Eredivisie,1st,33,33,"2,921",32.5,27,0.83,104,77,75,28,1,4,15,45.5,2,1,1,0,50,1,724,917,79,17369,12958,171,174,98.3,380,384,99,169,354,47.7
2019-2020,23,Ajax,nl NED,1. Eredivisie,1st,24,24,"2,160",24,21,0.87,72,51,73.6,18,2,4,8,33.3,2,2,0,0,0,0,629,767,82,15805,11814,159,159,100,302,304,99.3,161,294,54.8
2020-2021,24,Ajax,nl NED,1. Eredivisie,1st,20,20,"1,800",20,15,0.75,75,60,80,16,2,2,9,45,0,0,0,0,,1,631,766,82.4,16229,12072,163,164,99.4,278,285,97.5,189,316,59.8
2021-2022,25,Ajax,nl NED,1. Eredivisie,1st,6,6,540,6,10,1.67,18,8,44.4,5,0,1,0,0,0,0,0,0,,0,151,191,79.1,4271,2952,28,28,100,61,63,96.8,62,98,63.3
2022-2023,26,Inter,it ITA,1. Serie A,3rd,24,24,"2,160",24,24,1,83,61,73.5,14,3,7,8,33.3,2,2,0,0,0,0,837,1030,81.3,20562,13611,224,224,100,386,394,98,220,402,54.7
2023-2024,27,Manchester Utd,eng ENG,1. Premier League,8th,20,20,"1,800",20,27,1.35,95,69,73.7,10,1,9,6,30,2,2,0,0,0,0,594,784,75.8,14255,9422,152,153,99.3,301,306,98.4,136,317,42.9
