Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2011-2012,17,Darlington,eng ENG,5. Conf Premier,22nd,17,17,"1,530",17,39,2.29,99,60,60.6,0,6,11,2,11.8,,,,,,0,,,,,,,,,,,,,,
2012-2013,18,Alfreton Town,eng ENG,5. Conf Premier,13th,12,12,"1,080",12,12,1,63,51,81,6,2,4,4,33.3,,,,,,0,,,,,,,,,,,,,,
2013-2014,19,Carlisle United,eng ENG,3. League One,22nd,18,18,"1,620",18,27,1.5,64,37,57.8,3,6,9,7,38.9,,,,,,0,,,,,,,,,,,,,,
2013-2014,19,Burton Albion,eng ENG,4. League Two,6th,12,12,"1,080",12,11,0.92,41,30,73.2,5,4,3,5,41.7,,,,,,0,,,,,,,,,,,,,,
2014-2015,20,Bradford City,eng ENG,3. League One,7th,33,33,"2,891",32.1,36,1.12,115,79,68.7,13,9,10,9,27.3,,,,,,0,,,,,,,,,,,,,,
2015-2016,21,Preston,eng ENG,2. Championship,11th,24,24,"2,101",23.3,20,0.86,80,60,75,6,9,8,8,33.3,,,,,,0,,,,,,,,,,,,,,
2015-2016,21,Sunderland,eng ENG,1. Premier League,17th,2,2,180,2,6,3,17,11,64.7,0,1,1,0,0,,,,,,0,,,,,,,,,,,,,,
2016-2017,22,Sunderland,eng ENG,1. Premier League,20th,29,29,"2,610",29,50,1.72,189,139,74.6,5,4,20,4,13.8,2,2,0,0,0,0,,,,,,,,,,,,,,
2016-2017,22,Sunderland,eng ENG,Jr. PL2 — Div. 1,7th,1,1,90,1,,,,0,,0,1,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,
2017-2018,23,Everton,eng ENG,1. Premier League,8th,38,38,"3,420",38,58,1.53,178,119,69.1,13,10,15,10,26.3,5,3,1,1,25,0,675,1332,50.7,28089,24029,54,55,98.2,232,239,97.1,389,1029,37.8
2018-2019,24,Everton,eng ENG,1. Premier League,8th,38,38,"3,420",38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60,0,772,1275,60.5,26263,19906,77,77,100,362,373,97.1,332,819,40.5
2019-2020,25,Everton,eng ENG,1. Premier League,12th,38,38,"3,420",38,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0,0,905,1383,65.4,28145,21362,185,185,100,359,364,98.6,346,815,42.5
2020-2021,26,Everton,eng ENG,1. Premier League,10th,31,31,"2,742",30.5,39,1.28,128,90,71.1,15,5,11,10,32.3,3,2,0,1,0,0,766,1154,66.4,23261,18485,201,203,99,248,250,99.2,307,686,44.8
2021-2022,27,Everton,eng ENG,1. Premier League,16th,35,35,"3,150",35,58,1.66,170,116,66.5,10,6,19,7,20,1,1,0,0,0,0,608,1147,53,23302,19151,83,83,100,204,208,98.1,321,848,37.9
2022-2023,28,Everton,eng ENG,1. Premier League,17th,37,37,"3,330",37,57,1.54,181,123,71.3,7,12,18,8,21.6,6,5,1,0,16.7,0,749,1312,57.1,25114,19603,158,159,99.4,242,247,98,342,892,38.3
2023-2024,29,Everton,eng ENG,1. Premier League,17th,20,20,"1,800",20,28,1.4,79,53,70.9,8,2,10,6,30,5,5,0,0,0,0,486,776,62.6,16737,13493,67,67,100,177,184,96.2,241,519,46.4
