Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2014-2015,18,Southport,eng ENG,5. Conf Premier,19th,16,16,"1,440",16,31,1.94,107,76,71,6,2,8,5,31.3,,,,,,0,,,,,,,,,,,,,,
2014-2015,18,Blackburn,eng ENG,2. Championship,9th,2,2,180,2,2,1,4,2,50,2,0,0,1,50,,,,,,0,,,,,,,,,,,,,,
2015-2016,19,Blackburn,eng ENG,2. Championship,15th,5,5,450,5,5,1,12,7,58.3,0,3,2,1,20,,,,,,0,,,,,,,,,,,,,,
2016-2017,20,Blackburn,eng ENG,2. Championship,22nd,5,5,450,5,2,0.4,17,15,88.2,3,2,0,3,60,0,0,0,0,,0,,,,,,,,,,,,,,
2017-2018,21,Blackburn,eng ENG,3. League One,2nd,45,45,"4,050",45,39,0.87,175,136,78.9,28,12,5,0,0,2,2,0,0,0,0,,,,,,,,,,,,,,
2018-2019,22,Blackburn,eng ENG,2. Championship,15th,41,41,"3,690",41,64,1.56,180,118,66.7,13,11,17,10,24.4,7,4,1,2,20,0,672,1390,48.3,26894,23089,63,64,98.4,247,253,97.6,360,1059,34
2019-2020,23,Brentford,eng ENG,2. Championship,3rd,46,46,"4,140",46,38,0.83,136,99,74.3,24,9,13,16,34.8,3,3,0,0,0,1,1468,1908,76.9,37948,25173,342,346,98.8,683,691,98.8,433,852,50.8
2020-2021,24,Brentford,eng ENG,2. Championship,3rd,42,42,"3,780",42,36,0.86,126,91,74.6,23,14,5,16,38.1,4,4,0,0,0,0,1634,2083,78.4,41833,28870,348,350,99.4,821,840,97.7,457,881,51.9
2021-2022,25,Brentford,eng ENG,1. Premier League,13th,24,24,"2,160",24,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0,0,737,1085,67.9,22782,17533,137,138,99.3,302,310,97.4,296,625,47.4
2022-2023,26,Brentford,eng ENG,1. Premier League,9th,38,38,"3,420",38,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0,0,1054,1640,64.3,34961,26954,131,135,97,463,473,97.9,459,1026,44.7
2023-2024,27,Arsenal,eng ENG,1. Premier League,4th,15,15,"1,350",15,16,1.07,39,22,61.5,8,3,4,5,33.3,2,1,1,0,50,0,392,510,76.9,9320,6493,116,116,100,198,198,100,78,192,40.6
