Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2010-2011,18,M'Gladbach,de GER,1. Bundesliga,16th,6,6,540,6,3,0.5,22,19,86.4,4,1,1,3,50,,,,,,0,,,,,,,,,,,,,,
2011-2012,19,M'Gladbach,de GER,1. Bundesliga,4th,34,34,"3,060",34,24,0.71,127,103,81.1,17,9,8,15,44.1,,,,,,1,,,,,,,,,,,,,,
2012-2013,20,M'Gladbach,de GER,1. Bundesliga,8th,34,34,"3,046",33.8,47,1.39,169,122,72.2,12,11,11,9,26.5,,,,,,0,,,,,,,,,,,,,,
2013-2014,21,M'Gladbach,de GER,1. Bundesliga,6th,34,34,"3,060",34,43,1.26,185,142,76.8,16,7,11,9,26.5,,,,,,0,,,,,,,,,,,,,,
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,7,6,542,6,7,1.16,21,14,66.7,5,0,1,3,50,0,0,0,0,,3,,,,,,,,,,,,,,
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36,36,"3,240",36,33,0.92,154,121,78.6,27,6,3,13,36.1,0,0,0,0,,0,,,,,,,,,,,,,,
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37,37,"3,330",37,28,0.76,126,98,79.4,27,9,1,19,51.4,2,2,0,0,0,2,1068,1304,81.9,27867,19433,154,154,100,598,613,97.6,313,531,58.9
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35,35,"3,150",35,32,0.91,116,85,73.3,25,8,2,16,45.7,1,1,0,0,0,1,930,1084,85.8,24411,17180,131,131,100,512,521,98.3,284,427,66.5
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36,36,"3,240",36,36,1,116,79,74.1,24,6,6,14,38.9,7,6,1,0,14.3,0,1253,1431,87.6,29479,20950,331,333,99.4,599,614,97.6,318,477,66.7
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31,31,"2,790",31,32,1.03,106,76,72.6,21,5,5,11,35.5,3,3,0,0,0,0,925,1043,88.7,22407,15660,182,183,99.5,514,522,98.5,228,336,67.9
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35,35,"3,150",35,34,0.97,109,74,70.6,19,9,7,11,31.4,3,2,1,0,33.3,0,1113,1281,86.9,27465,18908,242,245,98.8,564,577,97.7,300,447,67.1
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,38,38,"3,347",37.2,18,0.48,98,83,84.7,28,4,6,26,68.4,3,3,0,0,0,9,1193,1412,84.5,30703,21527,228,232,98.3,600,613,97.9,362,564,64.2
2023-2024,31,Barcelona,es ESP,1. La Liga,3rd,13,13,"1,170",13,13,1,45,32,71.1,9,3,1,6,46.2,0,0,0,0,,0,395,430,91.9,9536,7003,86,86,100,204,209,97.6,105,133,78.9
