,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3
0,2014,21,Internacional,br BRA,1. Série A,3rd,11,11,990,11.0,0.0,0.0,0.0,0,0.0,7,1,3,2,18.2,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015,22,Internacional,br BRA,1. Série A,5th,26,26,"2,266",25.2,0.0,0.0,0.0,0,0.0,12,7,7,15,57.7,4.0,3.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2016,23,Internacional,br BRA,1. Série A,17th,1,1,90,1.0,0.0,0.0,1.0,1,100.0,0,1,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2017-2018,24,Roma,it ITA,1. Serie A,3rd,37,37,"3,330",37.0,28.0,0.76,135.0,105,81.5,22,8,7,17,45.9,5.0,3.0,2.0,0.0,40.0,0,1090.0,1323.0,82.4,31865.0,23250.0,127.0,127.0,100.0,518.0,525.0,98.7,443.0,667.0,66.4
4,2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38,38,"3,420",38.0,22.0,0.58,96.0,74,77.1,30,7,1,21,55.3,1.0,0.0,0.0,1.0,0.0,6,1075.0,1290.0,83.3,28332.0,18517.0,143.0,148.0,96.6,625.0,628.0,99.5,307.0,510.0,60.2
5,2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,29,29,"2,543",28.3,23.0,0.81,80.0,58,72.5,23,3,3,13,44.8,1.0,1.0,0.0,0.0,0.0,1,820.0,947.0,86.6,19608.0,12630.0,204.0,204.0,100.0,414.0,424.0,97.6,199.0,314.0,63.4
6,2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33,33,"2,970",33.0,32.0,0.97,115.0,82,75.7,18,8,7,10,30.3,8.0,4.0,1.0,3.0,20.0,0,1000.0,1157.0,86.4,22600.0,14023.0,223.0,225.0,99.1,578.0,590.0,98.0,191.0,330.0,57.9
7,2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36,36,"3,240",36.0,24.0,0.67,99.0,76,75.8,27,7,2,20,55.6,0.0,0.0,0.0,0.0,0.0,2,1214.0,1388.0,87.5,28439.0,18286.0,275.0,276.0,99.6,686.0,699.0,98.1,249.0,409.0,60.9
8,2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37,37,"3,330",37.0,43.0,1.16,147.0,105,72.1,19,9,9,14,37.8,4.0,2.0,1.0,1.0,33.3,0,1241.0,1453.0,85.4,29043.0,18696.0,307.0,309.0,99.4,657.0,666.0,98.6,273.0,469.0,58.2
9,2023-2024,30,Liverpool,eng ENG,1. Premier League,1st,18,18,"1,620",18.0,15.0,0.83,62.0,48,77.4,11,6,1,6,33.3,1.0,1.0,0.0,0.0,0.0,0,645.0,755.0,85.4,14168.0,8832.0,162.0,163.0,99.4,373.0,380.0,98.2,108.0,205.0,52.7
