Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1998-1999,20,Parma,it ITA,1. Serie A,4th,34,34,"3,060",34,36,1.06,186,150,80.6,15,10,9,11,32.4,,,,,,0,,,,,,,,,,,,,,
1999-2000,21,Parma,it ITA,1. Serie A,5th,32,32,"2,880",32,37,1.16,146,109,74.7,14,10,8,12,37.5,,,,,,0,,,,,,,,,,,,,,
2000-2001,22,Parma,it ITA,1. Serie A,4th,34,34,"3,060",34,31,0.91,146,115,78.8,16,8,10,16,47.1,,,,,,0,,,,,,,,,,,,,,
2001-2002,23,Juventus,it ITA,1. Serie A,1st,34,34,"3,060",34,23,0.68,134,111,82.8,20,11,3,18,52.9,,,,,,2,,,,,,,,,,,,,,
2002-2003,24,Juventus,it ITA,1. Serie A,1st,32,32,"2,827",31.4,23,0.73,108,85,78.7,19,9,4,14,43.8,,,,,,5,,,,,,,,,,,,,,
2003-2004,25,Juventus,it ITA,1. Serie A,3rd,32,32,"2,880",32,41,1.28,132,91,68.9,19,6,7,11,34.4,,,,,,1,,,,,,,,,,,,,,
2004-2005,26,Juventus,it ITA,1. Serie A,1st,37,37,"3,285",36.5,25,0.68,109,84,77.1,25,8,3,19,51.4,,,,,,2,,,,,,,,,,,,,,
2005-2006,27,Juventus,it ITA,1. Serie A,20th,18,18,"1,619",18,12,0.67,46,34,73.9,11,7,0,6,33.3,,,,,,5,,,,,,,,,,,,,,
2006-2007,28,Juventus,it ITA,2. Serie B,1st,37,37,"3,253",36.1,22,0.61,131,109,83.2,25,9,2,20,54.1,,,,,,3,,,,,,,,,,,,,,
2007-2008,29,Juventus,it ITA,1. Serie A,3rd,34,34,"3,050",33.9,30,0.89,133,103,77.4,19,10,5,16,47.1,,,,,,1,,,,,,,,,,,,,,
2008-2009,30,Juventus,it ITA,1. Serie A,2nd,23,23,"2,025",22.5,26,1.16,92,66,71.7,11,8,4,8,34.8,,,,,,0,,,,,,,,,,,,,,
2009-2010,31,Juventus,it ITA,1. Serie A,7th,27,27,"2,378",26.4,34,1.29,102,68,66.7,13,5,8,7,25.9,,,,,,0,,,,,,,,,,,,,,
2010-2011,32,Juventus,it ITA,1. Serie A,7th,16,16,"1,362",15.1,17,1.12,57,40,70.2,5,6,4,4,25,,,,,,0,,,,,,,,,,,,,,
2011-2012,33,Juventus,it ITA,1. Serie A,1st,35,35,"3,150",35,16,0.46,97,81,83.5,21,14,0,21,60,,,,,,2,,,,,,,,,,,,,,
2012-2013,34,Juventus,it ITA,1. Serie A,1st,32,32,"2,880",32,19,0.59,94,75,79.8,23,5,4,16,50,,,,,,2,,,,,,,,,,,,,,
2013-2014,35,Juventus,it ITA,1. Serie A,1st,33,33,"2,866",31.8,20,0.63,107,87,81.3,28,3,2,20,60.6,,,,,,1,,,,,,,,,,,,,,
2014-2015,36,Juventus,it ITA,1. Serie A,1st,33,33,"2,970",33,20,0.61,83,63,75.9,23,8,2,18,54.5,,,,,,2,,,,,,,,,,,,,,
2015-2016,37,Juventus,it ITA,1. Serie A,1st,35,35,"3,150",35,17,0.49,88,71,80.7,28,3,4,21,60,,,,,,3,,,,,,,,,,,,,,
2016-2017,38,Juventus,it ITA,1. Serie A,1st,30,30,"2,655",29.5,24,0.81,91,67,74.7,22,3,5,12,40,1,1,0,0,0,5,,,,,,,,,,,,,,
2017-2018,39,Juventus,it ITA,1. Serie A,1st,21,21,"1,862",20.7,14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25,1,501,624,80.3,13875,8678,63,63,100,282,287,98.3,154,272,56.6
2018-2019,40,Paris S-G,fr FRA,1. Ligue 1,1st,17,17,"1,530",17,18,1.06,65,49,73.8,13,1,3,6,35.3,2,1,1,0,50,1,374,410,91.2,7958,5763,96,96,100,216,217,99.5,57,90,63.3
2019-2020,41,Juventus,it ITA,1. Serie A,1st,9,9,810,9,10,1.11,33,23,72.7,7,1,1,1,11.1,2,1,0,1,0,1,191,208,91.8,4081,2730,51,51,100,99,99,100,35,51,68.6
2020-2021,42,Juventus,it ITA,1. Serie A,4th,8,8,720,8,5,0.62,21,15,85.7,7,1,0,3,37.5,3,2,1,0,33.3,0,259,307,84.4,5844,3805,70,70,100,132,133,99.2,54,100,54
2021-2022,43,Parma,it ITA,2. Serie B,12th,26,25,"2,272",25.2,27,1.07,117,89,80.3,7,12,6,8,32,7,4,2,1,33.3,0,623,800,77.9,16340,11719,129,129,100,296,299,99,186,356,52.2
2022-2023,44,Parma,it ITA,2. Serie B,4th,17,17,"1,529",17,22,1.29,58,37,67.2,9,4,4,4,23.5,3,3,0,0,0,0,350,509,68.8,9189,6875,60,60,100,189,190,99.5,98,256,38.3
