Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2002-2003,20,Rennes,fr FRA,1. Ligue 1,15th,36,36,"3,240",36,40,1.11,169,129,76.3,10,9,17,12,33.3,,,,,,0,,,,,,,,,,,,,,
2003-2004,21,Rennes,fr FRA,1. Ligue 1,9th,33,33,"2,905",32.3,31,0.96,140,109,77.9,12,9,11,12,36.4,,,,,,0,,,,,,,,,,,,,,
2004-2005,22,Chelsea,eng ENG,1. Premier League,1st,35,35,"3,150",35,13,0.37,102,89,87.3,27,7,1,24,68.6,,,,,,5,,,,,,,,,,,,,,
2005-2006,23,Chelsea,eng ENG,1. Premier League,1st,34,34,"3,015",33.5,20,0.6,139,119,85.6,27,4,3,18,52.9,,,,,,1,,,,,,,,,,,,,,
2006-2007,24,Chelsea,eng ENG,1. Premier League,2nd,20,20,"1,715",19.1,9,0.47,104,95,91.3,14,5,1,13,65,,,,,,1,,,,,,,,,,,,,,
2007-2008,25,Chelsea,eng ENG,1. Premier League,2nd,26,26,"2,313",25.7,17,0.66,102,85,83.3,15,8,3,15,57.7,,,,,,1,,,,,,,,,,,,,,
2008-2009,26,Chelsea,eng ENG,1. Premier League,3rd,35,35,"3,150",35,24,0.69,138,114,82.6,23,7,5,19,54.3,,,,,,0,,,,,,,,,,,,,,
2009-2010,27,Chelsea,eng ENG,1. Premier League,1st,34,34,"3,021",33.6,24,0.71,93,69,74.2,25,4,4,17,50,,,,,,2,,,,,,,,,,,,,,
2010-2011,28,Chelsea,eng ENG,1. Premier League,2nd,38,38,"3,420",38,33,0.87,148,115,77.7,21,8,9,15,39.5,,,,,,0,,,,,,,,,,,,,,
2011-2012,29,Chelsea,eng ENG,1. Premier League,6th,34,34,"3,060",34,39,1.15,140,101,72.1,16,10,9,10,29.4,,,,,,0,,,,,,,,,,,,,,
2012-2013,30,Chelsea,eng ENG,1. Premier League,3rd,36,36,"3,195",35.5,36,1.01,154,118,76.6,21,8,6,14,38.9,,,,,,0,,,,,,,,,,,,,,
2013-2014,31,Chelsea,eng ENG,1. Premier League,3rd,34,34,"3,060",34,24,0.71,103,79,76.7,23,6,5,16,47.1,,,,,,2,,,,,,,,,,,,,,
2014-2015,32,Chelsea,eng ENG,1. Premier League,1st,7,6,607,6.7,2,0.3,18,16,88.9,7,0,0,5,83.3,,,,,,1,,,,,,,,,,,,,,
2015-2016,33,Arsenal,eng ENG,1. Premier League,2nd,34,34,"3,060",34,31,0.91,126,95,75.4,18,9,7,16,47.1,,,,,,1,,,,,,,,,,,,,,
2016-2017,34,Arsenal,eng ENG,1. Premier League,5th,35,35,"3,097",34.4,37,1.08,150,113,81.3,22,5,7,12,34.3,9,9,0,0,0,0,,,,,,,,,,,,,,
2017-2018,35,Arsenal,eng ENG,1. Premier League,6th,34,34,"3,039",33.8,48,1.42,135,85,68.1,16,6,12,11,32.4,6,5,1,0,16.7,0,749,1039,72.1,22106,16596,74,75,98.7,398,400,99.5,276,556,49.6
2018-2019,36,Arsenal,eng ENG,1. Premier League,5th,7,7,585,6.5,9,1.38,37,28,75.7,5,0,2,1,14.3,0,0,0,0,,0,198,270,73.3,5622,3871,22,23,95.7,117,120,97.5,59,127,46.5
