Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Top
2009-2010,18,Atlético Madrid,es ESP,1. La Liga,9th,19,19,"1,710",19,28,1.47,82,54,65.9,8,3,8,3,15.8,,,,,,No
2010-2011,19,Atlético Madrid,es ESP,1. La Liga,7th,38,38,"3,420",38,53,1.39,199,146,73.4,17,7,14,11,28.9,,,,,,Yes
2011-2012,20,Manchester Utd,eng ENG,1. Premier League,2nd,29,29,"2,610",29,29,1,134,105,78.4,20,5,4,13,44.8,,,,,,Yes
2012-2013,21,Manchester Utd,eng ENG,1. Premier League,1st,28,28,"2,520",28,26,0.93,114,88,77.2,22,4,2,11,39.3,,,,,,No
2013-2014,22,Manchester Utd,eng ENG,1. Premier League,7th,37,37,"3,330",37,43,1.16,139,96,69.1,18,7,12,12,32.4,,,,,,Yes
2014-2015,23,Manchester Utd,eng ENG,1. Premier League,4th,37,37,"3,313",36.8,36,0.98,127,91,71.7,20,9,8,11,29.7,,,,,,No
2015-2016,24,Manchester Utd,eng ENG,1. Premier League,5th,34,34,"3,060",34,33,0.97,111,78,70.3,17,8,9,15,44.1,,,,,,No
2016-2017,25,Manchester Utd,eng ENG,1. Premier League,6th,35,35,"3,150",35,29,0.83,103,74,75.7,16,14,5,14,40,4,4,0,0,0,No
2017-2018,26,Manchester Utd,eng ENG,1. Premier League,2nd,37,37,"3,330",37,28,0.76,140,114,80.7,24,6,7,18,48.6,1,1,0,0,0,Yes
2018-2019,27,Manchester Utd,eng ENG,1. Premier League,6th,38,38,"3,420",38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0,No
2019-2020,28,Manchester Utd,eng ENG,1. Premier League,3rd,38,38,"3,420",38,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0,No
2020-2021,29,Manchester Utd,eng ENG,1. Premier League,2nd,26,26,"2,295",25.5,32,1.25,90,59,68.9,12,9,5,9,34.6,4,4,0,0,0,No
2021-2022,30,Manchester Utd,eng ENG,1. Premier League,6th,38,38,"3,420",38,57,1.5,180,124,70,16,10,12,8,21.1,5,3,2,0,40,No
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38,38,"3,420",38,43,1.13,142,99,71.1,23,6,9,17,44.7,3,2,1,0,33.3,Yes
