Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2004-2005,20,Udinese,it ITA,1. Serie A,4th,3,2,243,2.7,2,0.74,10,8,80,0,2,0,0,0,,,,,,0,,,,,,,,,,,,,,
2005-2006,21,Lazio,it ITA,1. Serie A,16th,1,1,90,1,0,0,,,,1,0,0,1,100,,,,,,0,,,,,,,,,,,,,,
2005-2006,21,Treviso,it ITA,1. Serie A,19th,3,3,264,2.9,6,2.05,,,,0,0,3,0,0,,,,,,0,,,,,,,,,,,,,,
2006-2007,22,Rimini,it ITA,2. Serie B,5th,39,39,"3,510",39,36,0.92,196,160,81.6,17,14,8,14,35.9,,,,,,0,,,,,,,,,,,,,,
2007-2008,23,Udinese,it ITA,1. Serie A,7th,35,35,"3,150",35,45,1.29,168,123,73.2,16,8,11,12,34.3,,,,,,0,,,,,,,,,,,,,,
2008-2009,24,Udinese,it ITA,1. Serie A,7th,34,34,"2,975",33.1,45,1.36,155,110,71,15,9,9,7,20.6,,,,,,0,,,,,,,,,,,,,,
2009-2010,25,Udinese,it ITA,1. Serie A,15th,37,37,"3,330",37,56,1.51,185,129,69.7,11,11,15,9,24.3,,,,,,0,,,,,,,,,,,,,,
2010-2011,26,Udinese,it ITA,1. Serie A,4th,35,35,"3,150",35,40,1.14,141,101,71.6,19,5,11,14,40,,,,,,0,,,,,,,,,,,,,,
2011-2012,27,Udinese,it ITA,1. Serie A,3rd,38,38,"3,420",38,35,0.92,153,118,77.1,18,10,10,17,44.7,,,,,,0,,,,,,,,,,,,,,
2012-2013,28,Inter,it ITA,1. Serie A,9th,35,35,"3,150",35,53,1.51,165,112,67.9,15,6,14,9,25.7,,,,,,0,,,,,,,,,,,,,,
2013-2014,29,Inter,it ITA,1. Serie A,5th,36,36,"3,110",34.6,32,0.93,145,113,77.9,14,15,7,16,44.4,,,,,,0,,,,,,,,,,,,,,
2014-2015,30,Inter,it ITA,1. Serie A,8th,37,37,"3,330",37,47,1.27,144,97,67.4,13,13,11,11,29.7,,,,,,0,,,,,,,,,,,,,,
2015-2016,31,Inter,it ITA,1. Serie A,4th,36,36,"3,240",36,34,0.94,146,112,76.7,19,7,10,15,41.7,,,,,,0,,,,,,,,,,,,,,
2016-2017,32,Inter,it ITA,1. Serie A,7th,37,37,"3,330",37,47,1.27,157,110,73.2,18,5,14,9,24.3,6,5,1,0,16.7,0,,,,,,,,,,,,,,
2017-2018,33,Inter,it ITA,1. Serie A,4th,38,38,"3,420",38,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0,0,943,1121,84.1,23448,17753,198,198,100,495,502,98.6,250,420,59.5
2018-2019,34,Inter,it ITA,1. Serie A,4th,38,38,"3,420",38,33,0.87,127,97,76.4,20,9,9,17,44.7,5,3,0,2,0,1,979,1167,83.9,24773,18107,200,200,100,497,500,99.4,278,462,60.2
2019-2020,35,Inter,it ITA,1. Serie A,2nd,35,35,"3,150",35,32,0.91,110,78,72.7,22,10,3,13,37.1,3,2,1,0,33.3,0,985,1124,87.6,24085,15446,217,218,99.5,516,523,98.7,251,378,66.4
2020-2021,36,Inter,it ITA,1. Serie A,1st,37,37,"3,240",36,33,0.92,110,76,73.6,27,7,3,14,37.8,6,4,2,0,33.3,2,934,1080,86.5,22303,14189,210,210,100,508,515,98.6,215,349,61.6
2021-2022,37,Inter,it ITA,1. Serie A,2nd,37,37,"3,330",37,30,0.81,124,95,79,25,9,3,15,40.5,4,4,0,0,0,0,1074,1260,85.2,25784,18136,270,271,99.6,530,533,99.4,264,445,59.3
2022-2023,38,Inter,it ITA,1. Serie A,3rd,14,14,"1,234",13.7,18,1.31,52,35,67.3,9,0,5,4,28.6,1,1,0,0,0,0,527,582,90.5,11641,7781,173,174,99.4,247,250,98.8,104,152,68.4
