Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
1999-2000,18,Real Madrid,es ESP,1. La Liga,5th,27,26,"2,382",26.5,25,0.94,138,113,81.9,13,10,3,7,26.9,,,,,,0,,,,,,,,,,,,,,
2000-2001,19,Real Madrid,es ESP,1. La Liga,1st,34,34,"3,038",33.8,37,1.1,159,122,76.7,22,6,6,13,38.2,,,,,,1,,,,,,,,,,,,,,
2001-2002,20,Real Madrid,es ESP,1. La Liga,3rd,25,25,"2,250",25,27,1.08,118,91,77.1,13,5,7,9,36,,,,,,0,,,,,,,,,,,,,,
2002-2003,21,Real Madrid,es ESP,1. La Liga,1st,38,38,"3,420",38,42,1.11,173,131,75.7,22,12,4,10,26.3,,,,,,1,,,,,,,,,,,,,,
2003-2004,22,Real Madrid,es ESP,1. La Liga,4th,37,37,"3,330",37,50,1.35,167,117,70.1,20,10,7,5,13.5,,,,,,0,,,,,,,,,,,,,,
2004-2005,23,Real Madrid,es ESP,1. La Liga,2nd,37,37,"3,293",36.6,30,0.82,194,164,84.5,24,5,7,15,40.5,,,,,,0,,,,,,,,,,,,,,
2005-2006,24,Real Madrid,es ESP,1. La Liga,2nd,37,37,"3,320",36.9,38,1.03,169,131,77.5,19,10,8,15,40.5,,,,,,0,,,,,,,,,,,,,,
2006-2007,25,Real Madrid,es ESP,1. La Liga,1st,38,38,"3,420",38,40,1.05,159,119,74.8,23,7,8,11,28.9,,,,,,2,,,,,,,,,,,,,,
2007-2008,26,Real Madrid,es ESP,1. La Liga,1st,36,36,"3,240",36,32,0.89,160,128,80,26,3,7,14,38.9,,,,,,3,,,,,,,,,,,,,,
2008-2009,27,Real Madrid,es ESP,1. La Liga,2nd,38,38,"3,420",38,52,1.37,175,123,70.3,25,3,10,14,36.8,,,,,,3,,,,,,,,,,,,,,
2009-2010,28,Real Madrid,es ESP,1. La Liga,2nd,38,38,"3,420",38,35,0.92,140,105,75,31,3,4,15,39.5,,,,,,4,,,,,,,,,,,,,,
2010-2011,29,Real Madrid,es ESP,1. La Liga,2nd,35,35,"3,062",34,32,0.94,115,83,72.2,26,5,4,14,40,,,,,,2,,,,,,,,,,,,,,
2011-2012,30,Real Madrid,es ESP,1. La Liga,1st,37,37,"3,330",37,31,0.84,128,97,75.8,31,4,2,14,37.8,,,,,,4,,,,,,,,,,,,,,
2012-2013,31,Real Madrid,es ESP,1. La Liga,2nd,19,18,"1,703",18.9,17,0.9,50,33,66,12,4,3,8,44.4,,,,,,0,,,,,,,,,,,,,,
2013-2014,32,Real Madrid,es ESP,1. La Liga,3rd,2,2,180,2,2,1,4,2,50,1,1,0,0,0,,,,,,0,,,,,,,,,,,,,,
2014-2015,33,Real Madrid,es ESP,1. La Liga,2nd,32,32,"2,880",32,35,1.09,118,83,70.3,24,2,6,12,37.5,,,,,,0,,,,,,,,,,,,,,
2015-2016,34,Porto,pt POR,1. Primeira Liga,3rd,32,32,"2,880",32,28,0.87,90,62,68.9,21,4,7,13,40.6,,,,,,0,,,,,,,,,,,,,,
2016-2017,35,Porto,pt POR,1. Primeira Liga,2nd,33,33,"2,970",33,16,0.48,73,57,80.8,22,10,1,19,57.6,3,2,0,1,0,1,,,,,,,,,,,,,,
2017-2018,36,Porto,pt POR,1. Primeira Liga,1st,20,19,"1,755",19.5,9,0.46,57,48,84.2,17,1,2,12,63.2,0,0,0,0,,1,,,,,,,,,,,,,,
2018-2019,37,Porto,pt POR,1. Primeira Liga,2nd,31,31,"2,790",31,19,0.61,68,50,76.5,24,4,3,18,58.1,3,3,0,0,0,1,645,870,74.1,18832,14308,77,77,100,319,326,97.9,247,464,53.2
