Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2005-2006,18,Darlington,eng ENG,4. League Two,8th,4,4,360,4,1,0.25,13,12,92.3,3,1,0,3,75,,,,,,0,,,,,,,,,,,,,,
2005-2006,18,Bury,eng ENG,4. League Two,19th,15,15,"1,350",15,14,0.93,61,47,77,4,8,3,6,40,,,,,,0,,,,,,,,,,,,,,
2006-2007,19,Bury,eng ENG,4. League Two,21st,14,14,"1,260",14,13,0.93,51,38,74.5,7,2,5,5,35.7,,,,,,0,,,,,,,,,,,,,,
2006-2007,19,Falkirk,sct SCO,1. Premier League,6th,15,15,"1,350",15,18,1.2,69,51,73.9,6,2,7,5,33.3,,,,,,0,,,,,,,,,,,,,,
2007-2008,20,Cardiff City,eng ENG,2. Championship,12th,14,14,"1,260",14,14,1,59,45,76.3,6,5,3,5,35.7,,,,,,0,,,,,,,,,,,,,,
2007-2008,20,Coventry City,eng ENG,2. Championship,21st,9,9,810,9,12,1.33,40,28,70,2,4,3,2,22.2,,,,,,0,,,,,,,,,,,,,,
2007-2008,20,Manchester City,eng ENG,1. Premier League,9th,7,7,630,7,5,0.71,31,26,83.9,4,1,2,4,57.1,,,,,,0,,,,,,,,,,,,,,
2008-2009,21,Manchester City,eng ENG,1. Premier League,10th,1,0,72,0.8,1,1.25,3,2,66.7,0,1,0,0,,,,,,,0,,,,,,,,,,,,,,
2009-2010,22,Notts County,eng ENG,4. League Two,1st,43,43,"3,862",42.9,29,0.68,198,169,85.4,25,12,6,24,55.8,,,,,,2,,,,,,,,,,,,,,
2010-2011,23,Leeds United,eng ENG,2. Championship,7th,37,37,"3,330",37,51,1.38,185,134,72.4,15,14,9,11,29.7,,,,,,0,,,,,,,,,,,,,,
2011-2012,24,Leicester City,eng ENG,2. Championship,9th,46,46,"4,129",45.9,54,1.18,189,135,71.4,18,12,16,14,30.4,,,,,,0,,,,,,,,,,,,,,
2012-2013,25,Leicester City,eng ENG,2. Championship,6th,46,46,"4,140",46,48,1.04,186,138,74.2,19,11,16,14,30.4,,,,,,1,,,,,,,,,,,,,,
2013-2014,26,Leicester City,eng ENG,2. Championship,1st,46,46,"4,140",46,43,0.93,115,72,62.6,31,9,6,18,39.1,,,,,,2,,,,,,,,,,,,,,
2014-2015,27,Leicester City,eng ENG,1. Premier League,14th,24,24,"2,160",24,37,1.54,112,75,67,8,5,11,6,25,,,,,,0,,,,,,,,,,,,,,
2015-2016,28,Leicester City,eng ENG,1. Premier League,1st,38,38,"3,420",38,36,0.95,136,100,73.5,23,12,3,15,39.5,,,,,,1,,,,,,,,,,,,,,
2016-2017,29,Leicester City,eng ENG,1. Premier League,12th,30,30,"2,666",29.6,47,1.59,157,110,72,10,7,13,8,26.7,3,3,0,0,0,0,,,,,,,,,,,,,,
2017-2018,30,Leicester City,eng ENG,1. Premier League,9th,33,33,"2,965",32.9,47,1.43,138,90,66.7,11,10,12,8,24.2,3,1,2,0,66.7,0,614,1142,53.8,24575,19644,33,36,91.7,175,186,94.1,405,915,44.3
2018-2019,31,Leicester City,eng ENG,1. Premier League,9th,38,38,"3,420",38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0,0,857,1248,68.7,29412,21904,60,61,98.4,352,359,98.1,443,822,53.9
2019-2020,32,Leicester City,eng ENG,1. Premier League,5th,38,38,"3,420",38,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20,0,934,1198,78,25910,17114,134,136,98.5,475,481,98.8,324,572,56.6
2020-2021,33,Leicester City,eng ENG,1. Premier League,5th,38,38,"3,420",38,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0,0,927,1251,74.1,25302,16109,139,141,98.6,468,477,98.1,318,628,50.6
2021-2022,34,Leicester City,eng ENG,1. Premier League,8th,37,37,"3,330",37,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2,0,945,1294,73,26527,17896,149,150,99.3,462,474,97.5,329,660,49.8
2022-2023,35,Nice,fr FRA,1. Ligue 1,9th,36,36,"3,240",36,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25,0,918,1188,77.3,25553,18698,162,162,100,419,430,97.4,332,589,56.4
2023-2024,36,Anderlecht,be BEL,1. Pro League A,2nd,13,13,"1,170",13,14,1.08,62,47,77.4,8,4,1,2,15.4,1,0,1,0,100,0,345,455,75.8,9721,6504,47,48,97.9,167,169,98.8,128,235,54.5
