Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2005-2006,18,Nice,fr FRA,1. Ligue 1,8th,5,5,450,5,5,1,22,17,77.3,3,0,2,1,20,,,,,,0,,,,,,,,,,,,,,
2006-2007,19,Nice,fr FRA,1. Ligue 1,16th,37,37,"3,330",37,37,1,176,139,79,9,15,13,13,35.1,,,,,,0,,,,,,,,,,,,,,
2007-2008,20,Nice,fr FRA,1. Ligue 1,8th,30,30,"2,637",29.3,24,0.82,116,92,79.3,9,13,8,13,43.3,,,,,,0,,,,,,,,,,,,,,
2008-2009,21,Lyon,fr FRA,1. Ligue 1,3rd,35,35,"3,150",35,27,0.77,112,85,75.9,19,10,6,16,45.7,,,,,,2,,,,,,,,,,,,,,
2009-2010,22,Lyon,fr FRA,1. Ligue 1,2nd,36,36,"3,240",36,33,0.92,151,118,78.1,19,12,5,16,44.4,,,,,,2,,,,,,,,,,,,,,
2010-2011,23,Lyon,fr FRA,1. Ligue 1,3rd,37,37,"3,330",37,40,1.08,138,98,71,16,13,8,12,32.4,,,,,,0,,,,,,,,,,,,,,
2011-2012,24,Lyon,fr FRA,1. Ligue 1,4th,36,36,"3,194",35.5,48,1.35,159,111,69.8,17,7,11,5,13.9,,,,,,2,,,,,,,,,,,,,,
2012-2013,25,Lyon,fr FRA,1. Ligue 1,3rd,2,2,180,2,2,1,5,3,60,1,1,0,0,0,,,,,,0,,,,,,,,,,,,,,
2012-2013,25,Tottenham,eng ENG,1. Premier League,5th,27,27,"2,430",27,29,1.07,82,53,64.6,16,7,4,9,33.3,,,,,,0,,,,,,,,,,,,,,
2013-2014,26,Tottenham,eng ENG,1. Premier League,6th,37,37,"3,330",37,50,1.35,148,98,66.2,21,6,10,14,37.8,,,,,,0,,,,,,,,,,,,,,
2014-2015,27,Tottenham,eng ENG,1. Premier League,5th,35,35,"3,063",34,48,1.41,153,105,68.6,17,6,11,8,22.9,,,,,,0,,,,,,,,,,,,,,
2015-2016,28,Tottenham,eng ENG,1. Premier League,3rd,37,37,"3,330",37,34,0.92,119,85,71.4,19,13,5,13,35.1,,,,,,0,,,,,,,,,,,,,,
2016-2017,29,Tottenham,eng ENG,1. Premier League,2nd,34,34,"3,004",33.4,24,0.72,101,77,77.2,24,5,4,15,44.1,1,1,0,0,0,0,,,,,,,,,,,,,,
2017-2018,30,Tottenham,eng ENG,1. Premier League,3rd,36,36,"3,240",36,35,0.97,117,82,71.8,22,7,7,15,41.7,3,2,0,1,0,1,916,1167,78.5,26371,18330,75,76,98.7,526,528,99.6,315,561,56.1
2018-2019,31,Tottenham,eng ENG,1. Premier League,4th,33,33,"2,970",33,33,1,130,98,76.9,21,2,10,12,36.4,5,3,2,0,40,0,928,1208,76.8,26523,18099,94,95,98.9,525,540,97.2,308,572,53.8
2019-2020,32,Tottenham,eng ENG,1. Premier League,6th,21,21,"1,807",20.1,21,1.05,99,78,80.8,11,6,4,6,28.6,3,2,1,0,33.3,0,414,573,72.3,11600,8725,106,108,98.1,153,155,98.7,149,302,49.3
2020-2021,33,Tottenham,eng ENG,1. Premier League,7th,38,38,"3,420",38,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0,0,801,1079,74.2,19746,14204,262,265,98.9,300,305,98.4,229,498,46
2021-2022,34,Tottenham,eng ENG,1. Premier League,4th,38,38,"3,420",38,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0,0,767,957,80.1,18629,12234,247,252,98,295,299,98.7,211,388,54.4
2022-2023,35,Tottenham,eng ENG,1. Premier League,8th,25,25,"2,205",24.5,39,1.59,117,79,67.5,13,3,9,7,28,1,1,0,0,0,0,561,728,77.1,13442,8398,174,177,98.3,241,242,99.6,146,305,47.9
