Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2010-2011,23,Albacete,es ESP,2. Segunda División,22nd,36,36,"3,240",36,49,1.36,155,106,68.4,6,11,19,5,13.9,,,,,,0,,,,,,,,,,,,,,
2011-2012,24,Levante,es ESP,1. La Liga,6th,1,1,90,1,0,0,5,5,100,1,0,0,1,100,,,,,,0,,,,,,,,,,,,,,
2012-2013,25,Levante,es ESP,1. La Liga,11th,9,9,810,9,10,1.11,47,37,78.7,1,4,4,2,22.2,,,,,,0,,,,,,,,,,,,,,
2013-2014,26,Levante,es ESP,1. La Liga,10th,37,37,"3,249",36.1,39,1.08,192,153,79.7,12,12,13,16,43.2,,,,,,2,,,,,,,,,,,,,,
2014-2015,27,Real Madrid,es ESP,1. La Liga,2nd,6,6,540,6,3,0.5,14,11,78.6,6,0,0,3,50,,,,,,0,,,,,,,,,,,,,,
2015-2016,28,Real Madrid,es ESP,1. La Liga,2nd,34,34,"3,060",34,28,0.82,117,92,76.9,25,6,3,13,38.2,4,1,3,0,75,1,,,,,,,,,,,,,,
2016-2017,29,Real Madrid,es ESP,1. La Liga,1st,27,27,"2,430",27,31,1.15,113,83,73.5,20,4,3,5,18.5,2,1,0,1,0,3,,,,,,,,,,,,,,
2017-2018,30,Real Madrid,es ESP,1. La Liga,3rd,27,27,"2,430",27,31,1.15,111,79,73.9,16,7,4,7,25.9,4,2,2,0,50,2,560,700,80,15660,10767,59,60,98.3,309,314,98.4,191,325,58.8
2018-2019,31,Real Madrid,es ESP,1. La Liga,3rd,10,10,900,10,8,0.8,31,23,74.2,6,2,2,4,40,0,0,0,0,,0,240,300,80,6672,4356,21,21,100,145,146,99.3,74,133,55.6
2019-2020,32,Paris S-G,fr FRA,1. Ligue 1,1st,21,21,"1,890",21,18,0.86,66,49,72.7,17,2,2,11,52.4,0,0,0,0,,1,470,543,86.6,10905,7362,108,108,100,255,259,98.5,107,175,61.1
2020-2021,33,Paris S-G,fr FRA,1. Ligue 1,2nd,29,29,"2,520",28,18,0.64,92,73,81.5,21,3,5,14,48.3,2,1,1,0,50,0,652,742,87.9,15472,10696,150,151,99.3,339,343,98.8,159,244,65.2
2021-2022,34,Paris S-G,fr FRA,1. Ligue 1,1st,21,21,"1,856",20.6,18,0.87,78,60,79.5,13,6,2,7,33.3,2,2,0,0,0,1,501,547,91.6,10820,7312,139,140,99.3,268,270,99.3,92,134,68.7
2022-2023,35,Nott'ham Forest,eng ENG,1. Premier League,16th,17,17,"1,529",17,32,1.88,83,51,66.3,4,4,9,1,5.9,4,4,0,0,0,0,306,534,57.3,10310,8282,29,29,100,136,137,99.3,141,363,38.8
