Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2011-2012,18,União de Leiria,pt POR,1. Primeira Liga,16th,16,16,"1,439",16,29,1.81,86,57,66.3,1,4,10,4,25,,,,,,0,,,,,,,,,,,,,,
2012-2013,19,Rio Ave,pt POR,1. Primeira Liga,6th,28,28,"2,501",27.8,40,1.44,102,62,60.8,11,6,11,6,21.4,,,,,,0,,,,,,,,,,,,,,
2013-2014,20,Benfica,pt POR,1. Primeira Liga,1st,16,15,"1,351",15,5,0.33,48,43,89.6,14,1,0,11,73.3,,,,,,1,,,,,,,,,,,,,,
2014-2015,21,Atlético Madrid,es ESP,1. La Liga,3rd,11,11,990,11,6,0.55,24,18,75,6,4,1,7,63.6,,,,,,0,,,,,,,,,,,,,,
2015-2016,22,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,420",38,18,0.47,99,82,82.8,28,4,6,24,63.2,1,1,0,0,0,2,,,,,,,,,,,,,,
2016-2017,23,Atlético Madrid,es ESP,1. La Liga,3rd,30,30,"2,651",29.5,21,0.71,81,63,77.8,17,7,6,15,50,4,3,1,0,25,2,,,,,,,,,,,,,,
2017-2018,24,Atlético Madrid,es ESP,1. La Liga,2nd,37,37,"3,330",37,22,0.59,126,102,83.3,22,10,5,22,59.5,4,1,3,0,75,2,505,911,55.4,17911,14751,49,49,100,186,190,97.9,270,668,40.4
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,37,37,"3,330",37,27,0.73,129,104,82.9,22,9,6,20,54.1,5,5,0,0,0,1,476,864,55.1,17872,15366,55,56,98.2,163,168,97,258,637,40.5
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,395",37.7,27,0.72,111,87,78.4,18,16,4,17,44.7,4,3,0,1,0,0,572,956,59.8,20137,17005,82,83,98.8,180,182,98.9,304,679,44.8
2020-2021,27,Atlético Madrid,es ESP,1. La Liga,1st,38,38,"3,420",38,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,3,642,1005,63.9,20935,15888,87,87,100,230,233,98.7,322,679,47.4
2021-2022,28,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,420",38,43,1.13,106,65,66,21,8,9,12,31.6,8,7,1,0,12.5,0,640,1094,58.5,19827,14832,92,93,98.9,256,258,99.2,286,736,38.9
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,28,28,"2,492",27.7,20,0.72,79,59,75.9,17,5,6,11,39.3,2,1,0,1,0,0,538,817,65.9,15674,11619,99,99,100,239,243,98.4,197,469,42
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,5th,19,19,"1,710",19,23,1.21,80,57,72.5,12,2,5,6,31.6,2,1,0,1,0,0,399,530,75.3,10409,7575,78,78,100,208,209,99.5,113,242,46.7
