Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2012-2013,20,Cambridge Utd,eng ENG,5. Conf Premier,14th,9,9,810,9,7,0.78,41,34,82.9,3,4,2,4,44.4,,,,,,0,,,,,,,,,,,,,,
2012-2013,20,Charlton Ath,eng ENG,2. Championship,9th,1,0,20,0.2,0,0,1,1,100,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,
2013-2014,21,Aldershot Town,eng ENG,5. Conf Premier,19th,5,5,450,5,9,1.8,33,24,72.7,1,2,2,2,40,,,,,,0,,,,,,,,,,,,,,
2013-2014,21,York City,eng ENG,4. League Two,7th,22,22,"1,980",22,12,0.55,82,70,85.4,9,10,3,15,68.2,,,,,,0,,,,,,,,,,,,,,
2014-2015,22,Bury,eng ENG,4. League Two,3rd,22,22,"1,980",22,14,0.64,53,39,73.6,15,2,5,12,54.5,,,,,,0,,,,,,,,,,,,,,
2014-2015,22,Charlton Ath,eng ENG,2. Championship,12th,8,7,654,7.3,9,1.24,34,25,73.5,1,4,2,2,28.6,,,,,,0,,,,,,,,,,,,,,
2015-2016,23,Charlton Ath,eng ENG,2. Championship,22nd,24,24,"2,160",24,33,1.37,116,83,71.6,6,7,11,5,20.8,,,,,,0,,,,,,,,,,,,,,
2017-2018,25,Burnley,eng ENG,1. Premier League,7th,35,34,"3,115",34.6,35,1.01,148,113,78.4,12,11,11,12,35.3,5,3,1,1,25,0,546,1224,44.6,26090,23787,17,17,100,138,144,95.8,391,1055,37.1
2019-2020,27,Burnley,eng ENG,1. Premier League,10th,38,38,"3,420",38,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20,1,556,1194,46.6,22391,19476,48,48,100,172,176,97.7,336,961,35
2020-2021,28,Burnley,eng ENG,1. Premier League,17th,32,32,"2,880",32,37,1.16,149,113,77.2,10,9,13,11,34.4,3,3,0,0,0,0,505,989,51.1,20828,18354,35,35,100,143,150,95.3,327,789,41.4
2021-2022,29,Burnley,eng ENG,1. Premier League,18th,36,36,"3,240",36,47,1.31,165,119,74.5,7,14,15,9,25,5,5,0,0,0,0,556,1088,51.1,24142,21499,35,40,87.5,129,135,95.6,392,901,43.5
2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,37,37,"3,261",36.2,32,0.88,118,85,74.6,19,13,5,14,37.8,5,2,2,1,50,0,614,890,69,17068,11723,121,122,99.2,275,283,97.2,212,478,44.4
2023-2024,31,Newcastle Utd,eng ENG,1. Premier League,10th,14,14,"1,255",13.9,14,1,53,39,73.6,8,2,4,5,35.7,0,0,0,0,,0,289,367,78.7,7287,4347,55,56,98.2,162,165,98.2,71,144,49.3
