Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9,9,810,9,9,1,39,30,76.9,7,0,2,3,33.3,,,,,,0,,,,,,,,,,,,,,
2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23,23,"2,070",23,32,1.39,117,85,72.6,3,9,11,2,8.7,,,,,,0,,,,,,,,,,,,,,
2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26,26,"2,340",26,37,1.42,134,97,72.4,11,6,9,6,23.1,,,,,,0,,,,,,,,,,,,,,
2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,34,34,"3,046",33.8,57,1.68,188,131,69.7,9,9,16,9,26.5,,,,,,0,,,,,,,,,,,,,,
2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,"1,979",22,35,1.59,122,87,71.3,6,7,8,4,18.2,,,,,,0,,,,,,,,,,,,,,
2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,35,35,"3,105",34.5,19,0.55,101,82,81.2,27,6,2,18,51.4,,,,,,2,,,,,,,,,,,,,,
2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,24,24,"2,123",23.6,13,0.55,55,42,78.2,18,4,2,15,62.5,2,1,1,0,50,0,,,,,,,,,,,,,,
2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4,4,360,4,4,1,17,13,88.2,3,0,1,1,25,2,2,0,0,0,1,85,92,92.4,1808,1270,19,19,100,57,58,98.3,8,13,61.5
2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,"2,938",32.6,48,1.47,158,111,70.3,14,9,10,8,24.2,1,1,0,0,0,0,802,1213,66.1,28217,24350,115,115,100,263,267,98.5,421,818,51.5
2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,"1,980",22,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0,0,703,939,74.9,19494,14515,159,160,99.4,311,317,98.1,230,457,50.3
2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33,33,"2,970",33,52,1.58,150,99,68,15,12,6,4,12.1,6,4,1,1,20,0,953,1359,70.1,26873,20832,185,186,99.5,459,466,98.5,305,697,43.8
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32,32,"2,880",32,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0,0,823,1257,65.5,22069,16348,198,199,99.5,370,381,97.1,249,665,37.4
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,"2,970",33,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0,0,616,888,69.4,15447,10068,133,134,99.3,327,332,98.5,151,412,36.7
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,16,16,"1,440",16,19,1.19,67,46,76.1,6,6,4,5,31.3,5,3,2,0,40,0,456,606,75.2,10600,6928,134,134,100,218,221,98.6,103,246,41.9
