,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3
0,2012-2013,19,Paris S-G,fr FRA,1. Ligue 1,1st,2,1,103,1.1,1,0.87,4.0,3.0,75.0,0,2,0,1,100.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013-2014,20,Lens,fr FRA,2. Ligue 2,2nd,34,34,"3,030",33.7,33,0.98,119.0,86.0,72.3,16,12,5,14,41.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-2015,21,Bastia,fr FRA,1. Ligue 1,12th,35,35,"3,150",35.0,42,1.2,140.0,98.0,70.0,12,9,14,11,31.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-2016,22,Villarreal,es ESP,1. La Liga,4th,32,32,"2,880",32.0,26,0.81,104.0,80.0,76.0,17,8,7,15,46.9,2.0,1.0,1.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2016-2017,23,Paris S-G,fr FRA,1. Ligue 1,2nd,15,14,"1,297",14.4,14,0.97,35.0,21.0,62.9,9,2,3,6,42.9,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2017-2018,24,Paris S-G,fr FRA,1. Ligue 1,1st,34,34,"3,060",34.0,25,0.74,102.0,77.0,76.5,26,6,2,17,50.0,3.0,1.0,1.0,1.0,50.0,2,833.0,899.0,92.7,18928.0,12913.0,153.0,154.0,99.4,514.0,518.0,99.2,156.0,217.0,71.9
6,2018-2019,25,Paris S-G,fr FRA,1. Ligue 1,1st,21,21,"1,890",21.0,17,0.81,66.0,50.0,80.3,16,3,2,11,52.4,4.0,4.0,0.0,0.0,0.0,1,445.0,516.0,86.2,10564.0,7543.0,94.0,94.0,100.0,251.0,254.0,98.8,99.0,166.0,59.6
7,2019-2020,26,Paris S-G,fr FRA,1. Ligue 1,1st,3,3,270,3.0,2,0.67,3.0,1.0,33.3,2,0,1,2,66.7,0.0,0.0,0.0,0.0,0.0,1,57.0,58.0,98.3,1073.0,843.0,23.0,23.0,100.0,27.0,27.0,100.0,6.0,6.0,100.0
8,2019-2020,26,Real Madrid,es ESP,1. La Liga,1st,4,4,360,4.0,5,1.25,14.0,9.0,78.6,3,1,0,1,25.0,2.0,2.0,0.0,0.0,0.0,1,113.0,134.0,84.3,2890.0,1887.0,17.0,17.0,100.0,65.0,65.0,100.0,31.0,52.0,59.6
9,2020-2021,27,Fulham,eng ENG,1. Premier League,18th,36,36,"3,240",36.0,48,1.33,161.0,114.0,73.9,5,13,18,9,25.0,6.0,6.0,0.0,0.0,0.0,0,746.0,1014.0,73.6,18222.0,12486.0,272.0,274.0,99.3,254.0,256.0,99.2,204.0,465.0,43.9
